block_condition,frequency_sound_1,modulate,mod_hz,frequency_sound_2,freq_cond
change,250,different,5,255,1
change,250,different,10,260,1
change,250,different,2,252,1
change,500,different,5,505,2
change,500,different,10,510,2
change,500,different,2,502,2
change,1000,different,5,1005,3
change,1000,different,10,1010,3
change,1000,different,2,1002,3
change,2000,different,5,2005,4
change,2000,different,10,2010,4
change,2000,different,2,2002,4
change,250,same,0,250,1
change,250,same,0,250,1
change,250,same,0,250,1
change,500,same,0,500,2
change,500,same,0,500,2
change,500,same,0,500,2
change,1000,same,0,1000,3
change,1000,same,0,1000,3
change,1000,same,0,1000,3
change,2000,same,0,2000,4
change,2000,same,0,2000,4
change,2000,same,0,2000,4